編號,使用執照號碼,原建照編號,棟別編號,勘災組編號,建物名稱,地址,Latitude,Longitude,建築物用途說明,高度,樓層,分數,風險等級,張貼紅色危險標誌,張貼黃色危險標誌,綠標(未貼單/已補強),class,預定勘災日,紅黃單有無使照註記,GPS座標E,GPS座標N,勘災人員現場震損判斷,上傳NCREE,drawing,photo
288,(82)花建使字第00079號,IJ00810100000840000,1,A01,昇園大樓,花蓮市國光里4鄰林森路322號二樓之2,23.983873,121.6092105,H2:住宅,21,6,40.7,紅燈,,,1,1,6,,"E121°36'33""","N23°59'1"" ",N,,V,V
,,,,A02,吉興華厦,花蓮市國民八街106號,23.9938869,121.6085832,H2:住宅,,6,,,,,1,1,6,,"E121°36'31.45""","N23°59'38.09"" ",N,,V,V
,,,,A03,花蓮女中美育教室,花蓮市民權里菁華街2號,23.9790594,121.6158304,D4:教室,,2,,,,,1,1,6,,"E121°36'58.47""","N23°58'43.78""",N,,,
,,,,A04,,花蓮市民主里北濱街2號,23.9725697,121.613114,H2:住宅,,6,,,3,,,3,6,,"E121°36'58.47""","N23°58'43.78"" ",S,,,
,,,,A05,,花蓮市民主里北濱街6號,23.9731026,121.6132636,H2:住宅,,6,,,3,,,3,6,,"E121°36'49""","N23°58'23.6"" ",S,,,
,,,,A06,,花蓮市北濱街4-1號,23.9726683,121.6131903,G3:店舖 商場 集合住宅 辦公室 避難室,,1,,,,2,,2,6,,"E121°36'38.78""","N23°58'36.43"" ",L,,,
,,,,A07,(已經拆除）,花蓮市民有里北濱街16、20、22、24號,23.9740369,121.614651,,,,,,3,,,3,6,,E121°36.8706',N23°58.4759',C,,,
,,,,A08,麥當勞吉安店,吉安鄉宜昌村中華路二段11號,23.9737352,121.587457,,,,,,3,,,3,8,,E121°35.2563',N23°58.4362',S,V,V,V
,,,,A09,馥邑京華公寓大樓,花蓮市主力里榮正街96號及98號,23.973791,121.5975892,,,,,,3,,,3,7,,E121°35.8514',N23°58.4395',S,V,V,V
,,,,A10,蘇德興代書,花蓮市主計里明義街15號,23.9727653,121.608504,,,,,,,2,,2,7,人工尋找,E121°35.5115',N23°58.3700',S,V,V,V
,,,,A10,花蓮縣電氣裝置業職業工會,花蓮市主計里明義街15之1號,23.9727653,121.608504,,,,,,,2,,2,7,跟上面同一棟,E121°35.5115',N23°58.3700',S,V,V,V
,,,,A11,,花蓮市主計里信義街9號,23.9724997,121.6055719,,,,,,3,,,3,7,,E121°36.3448',N23°58.3487',S,,V,V
,,,,A12,,花蓮市主計里信義街9之1及9之2號,23.9724997,121.6055719,,,,,,3,,,3,7,,E121°36.3448',N23°58.3487',S,V,V,V
,,,,A13,現代生活大廈,花蓮市民樂里民樂三街2號,23.990834,121.6335252,集合住宅,,,,,,2,,2,,,E121°38.0350',N23°59.4329',M,V,V,V
,,,,A14,馬可波羅大樓,花蓮市民運里中興路32號,23.9923516,121.6324188,,,,,,,2,,2,7,無,E121°37.9493',N23°59.5429',L,V,V,V
333,(72)花建使字第00375號,IJ00710100004070000,1,A15,,花蓮市北濱街4號,23.9726683,121.6131903,F3:地下室防空避難室 一樓辦公室 幼稚園,11.4,3,107.6,綠燈,,,1,1,,,E121°36.8052',N23°58.3855',N,,V,V
,,,,A16,,花蓮市民有里康樂街5-5號,23.974053,121.6147021,,15,5,,,,2,,2,,,"E121°36'88.85""","N23°58'45.21""",L,V,,
,,,,A17,,花蓮市民生里復興街35之3號,23.9781711,121.609394,,12,4,,,,2,,2,,,"E121°36'54.55""","N23°58'67.80""",M,V,,
,,,,A18,,花蓮市民生里復興路35之5號,24.0397626,121.6015865,,3,1,,,,2,,2,,,"E121°36'54.34""","N23°58'68.01""",M,V,,
,,,,A19,壽豐農會超市,壽豐鄉壽山村壽山路19號,23.8593411,121.5598345,,,,,,3,,,3,,,"E121°30'59.02""","N23°52'17.41""",S,V,,
,,,,A20,,壽豐鄉中山路五段115號,23.8693628,121.5089805,H2:住宅,6,2,,,,,1,1,,,"E121°30'54.69""","N23°52'16.15""",N,,,
,,,,B01,富臨門,花蓮市國盛五街68號,23.9948724,121.6081622,H2:住宅,25,8,,,,,1,1,6,無,"E121°36'29.61""","N23°59'40.74"" ",N,,,
,,,,B02,豪門天地,花蓮市國盛六街53號,23.9946225,121.6086992,H2:住宅,,,,,,,1,1,6,無,"E121°36'31.72""","N23°59'40.52"" ",N,,,
,,,,B03,花蓮女中綜合教室,花蓮市民權里菁華街2號,23.9790594,121.6158304,D4:教室,18,5,,,3,,,3,6,有,"E121°36'55.16""","N23°58'45.16"" ",S,,,
,(83)花建使字第01101號,IJ00810100005440000,,B04,華爾街大樓,花蓮市民生里8鄰公正街37號七樓之23,23.9781305,121.610071,G3:店舖 商場 集合住宅 辦公室 避難室,35,11,,,,2,,2,6,立面圖相符,"E121°36'35.69""","N23°58'42.10"" ",S,,,
,,,,B05,藍天麗池,花蓮市中正路590號,23.9789404,121.6101284,99B4:國際觀光旅館,36,12,,,,,1,1,6,,"E121°36'35.61""","N23°58'45.10"" ",S,,,
,,,,B06,國軍英雄館,花蓮市民生里花崗街56號,23.9786476,121.6128218,99B4:國際觀光旅館,18,6,,,3,,,3,6,有,"E121°36'46.62""","N23°58'43.37"" ",S,,,
,,,,B07,鋼管紅茶,花蓮市民生里中山路201號,23.9773112,121.6090103,H2:店舖 住宅,12,4,,,3,,,3,6,有,"E121°36'33.0""","N23°58'38.2"" ",S,,,
,,,,B08,華王大飯店,花蓮市軒轅路18號,23.9753494,121.6118289,99B4:國際觀光旅館,12,4,,,,2,,2,6,,"E121°36'42.4""","N23°58'30.9"" ",M,,,
,,,,B09,天王星,花蓮市民族里軒轅路2之2號,23.9744355,121.6117074,G3:店舖 商場 集合住宅 辦公室 避難室,25,8,,,3,,,3,6,,"E121°36'41.3""","N23°58'28.4"" ",C,,,
,(86)花建使字第00217號,IJ00830100005150000,,B10,統帥大樓,花蓮市明禮路5號五樓之5,23.9784247,121.6112939,G3:店舖 辦公室 住宅 補習班 防空避難室兼(停車空間 變電室),29.45,10,,,3,,,3,6,立面圖相符,"E121°36'41.6""","N23°58'41.5"" ",S,,,
,,,,B11,上毅皇官,吉安鄉宜昌村中華路二段93號,23.973712,121.5848567,H2:店舖 住宅,42,14,,,,2,,2,8,,"E121°35'05.75""","N23°58'24.52"" ",M,V,V,V
,,,,B12,馥邑京華公寓大樓,花蓮市主力里中和街207號、209號,23.9745591,121.5981418,集合住宅,45,15,,,3,,,3,7,有,"E121°35'53.89""","N23°58'29.14"" ",S,V,V,V
,,,,B13,,花蓮市主商里博愛街50號,23.9742202,121.6089996,H2:店舖 住宅,15,5,,,3,,,3,6,,"E121°36'31.72""","N23°58'27.28"" ",S,V,V,V
,(82)花建變使字第00011號之1,IJ00710100011980000,,B14,,花蓮市國魂里3鄰中山路475之3號,23.8280359,120.7083577,D5:補習班,13.9,4,,,3,,,3,,立面圖相符,"E121°36'12.09""","N23°59'03.22"" ",S,V,V,V
,(81)花建使字第00851號,IJ00800100014880000,,B14,,花蓮市國魂里3鄰中山路475之5號,23.9783642,121.6084444,H2:店舖 住宅,16.2,5,,,3,,,3,,立面圖相符,"E121°36'12.09""","N23°59'03.22"" ",S,V,V,V
,,,,B14,,花蓮市國魂里延平街6號2樓（中山路475之1號）1樓（同一棟建物）,23.9843465,121.6035348,H2:店舖 住宅,13.9,4,,,3,,,3,7,,"E121°36'12.09""","N23°59'03.22"" ",S,V,V,V
,,,,B15,翰品酒店,花蓮市民立里永興路2號,23.9917282,121.6266746,99B4:國際觀光旅館,30,10,,,3,,,3,7,有,"E121°37'34.86""","N23°59'31.06"" ",S,V,V,V
,,,,B16,美崙大飯店,花蓮市林園1之1號,24.0034369,121.6320075,99B4:國際觀光旅館,45,15,,,,,1,1,,,"E121°37'40.32""","N23°59'59.79"" ",L,V,V,V
,,,,B17,,花蓮市民族里樹人街17巷1號,23.9758675,121.6128218,H2:住宅,9,3,,,3,,,3,,,"E121°36'45.78""","N23°58'33.31"" ",S,V,V,V
,,,,B17,,花蓮市民族里樹人街17巷2號,23.975743,121.6128218,H2:住宅,3,1,,,,2,,2,,,"E121°36'46.00""","N23°58'32.70"" ",N,,,
,,,,B18,,壽豐鄉平和村吳全129號,23.8902876,121.5537785,H2:住宅,3,1,,,,2,,2,,,"E121°33'13.81""","N23°53'24.79"" ",N,,V,V
,,,,B19,,壽豐鄉壽文路26、28、30、32、34、36,23.8760304,121.5133971,H2:住宅,9,3,,,,2,,2,,,"E121°30'48.16""","N23°52'29.86"" ",L,V,V,V
,,,,B20,,壽豐鄉中山路五段105號,23.8691052,121.5088889,H2:住宅,6.5,2,,,,,1,1,,,"E121°30'32.33""","N23°52'08.82"" ",L,,V,V
,,,,B21,,壽豐鄉中山路五段107號,23.869197,121.5089074,H2:住宅,7,2,,,,,1,1,,,"E121°30'32.42""","N23°52'09.21"" ",L,,V,V
,,,,C01,兆豐銀行花蓮分行,花蓮市公園路26號,23.9768127,121.6107461,銀行,,7,,,,,1,1,6,,"E121°36'38.78""","N23°58'36.43"" ",N,V,V,V
,,,,C02,中國信託銀行東花蓮分行,花蓮市公園路1-7號,23.9767624,121.6103989,G3:店舖 商場 集合住宅 辦公室 避難室,,9,,,,,1,1,6,,"E121°36'38.78""","N23°58'36.43""",M,V,V,V
,,,,C03,花蓮縣花蓮市明禮國民小學,花蓮市明禮路6號,23.9806578,121.610426,D4:教室,,4,,,,,1,1,6,,"E121°36'37.53""","N23°58'49.38""",N,V,V,V
,(83)花建使字第01102號,IJ00820100008080000,,C04,明禮路街屋,花蓮市國光里2鄰明禮路16號-1/-2,23.9818278,121.6089814,H2:店舖 住宅,17,5,,,,2,,2,6,立面圖相符,"E121°36'32.33""",N24°58'54.58,S,V,V,V
,,,,C05,麗翔酒店,花蓮市花崗街2號,23.9742815,121.6117958,G3:店舖 商場 集合住宅 辦公室 避難室,,6,,,,,1,1,6,,"E121°36'43""","N23°58'27""",N,V,V,V
,,,,C06,山海觀大樓,吉安鄉仁里村仁里五街177號,23.9695273,121.5865082,H2:集合住宅 店舖 防空避難室兼停車場,,15,,,3,,,3,7,,"E121°35'11""","N23°58'10""",S,V,V,V
,(84)花建使字第00306號,IJ00810100007420000,,C07,蓮花大樓,花蓮市主權里16鄰德安六街69號三樓,23.9716447,121.5916741,H2:集合住宅 店舖 防空避難室兼停車場,49.95,17,,,,2,,2,7,立面圖相符,"E121°35'30""","N23°58'16""",S,V,V,V
,(87)花建變使字第01420號之1,IJ00830100022850000,,C08,,吉安鄉北昌村33鄰自強路541號,23.9877544,121.5926021,H2:店舖 補習班 住宅,13.5,4,,,,2,,2,7,立面圖相符,"E121°35'33""","N23°59'15""",M,V,V,V
,,,,C09,花蓮代天府,花蓮市主計里明義街1之36號,23.9703981,121.6103352,,,,,,3,,,3,8,,"E121°36'34""","N23°58'13""",S,V,V,V
,,,,C10,,花蓮市中順街39號（圍牆）,23.9679755,121.5976883,,,,,,,2,,2,8,,"E121°35'51""","N23°58'5""",L,V,V,V
,,,,C11,馥邑天下大廈,花蓮市國風里林森路285號,23.9796959,121.6023192,,,,,,,2,,2,8,,"E121°36'51""","N23°58'46""",M,V,V,V
,,,,C12,,吉安鄉太昌村太昌路422號,23.991636,121.566985,,,,,,3,,,3,8,,"E121°34'1""","N23°59'30""",M,V,V,V
,,,,C13,,吉安鄉太昌村太昌路418、420號,23.991571,121.5670915,,,,,,,,,1,8,,"E121°34'1""","N23°59'30""",N,V,V,V
,,,,C14,,吉安鄉太昌村太昌路318巷14號,23.9903548,121.5703881,,,,,,,2,,2,8,,"E121°34'0""","N23°59'30""",M,V,V,V
,,,,,馥邑京華公寓大樓,花蓮市主力里中和街207號,23.9745591,121.5981418,集合住宅,45,15,,,3,,,3,,,"E121°35'53.89""","N23°58'29.14"" ",S,V,V,V
,,,,,,花蓮市國魂里中山路475之3號,23.9842214,121.6035857,D5:補習班,13.9,4,,,,,,1,7,人工尋找,"E121°36'12.09""","N23°59'03.22"" ",S,V,V,V
,,,,,,花蓮市國魂里中山路475之5號,23.9842214,121.6035857,H2:店舖 住宅,16.2,5,,,3,,,3,7,人工尋找,"E121°36'12.09""","N23°59'03.22"" ",S,V,V,V
,,,,,,壽豐鄉平和村吳全129號（樓梯間梁）,23.8902876,121.5537785,H2:住宅,3,1,,,3,,,3,8,,"E121°33'13.81""","N23°53'24.79"" ",N,,V,V
132,(69)花建使字第01772號,IJ00680100023240000,1,,經查為隔壁棟建築,花蓮市國光里2鄰明禮路18之4號,23.9819749,121.609111,H2:店舖 住宅,14.5,4,41.3,紅燈,,2,,2,6,,,,,,,
,,,,,,花蓮市國光里林森路266號（樓備間梁）,23.982676,121.607773,,,,,,3,,,3,6,無,,,,,,
,(89)花工建使字第00616號,IJ00810100004710000,,,,花蓮市主力里21鄰中和街207號,23.9745591,121.5981418,H2:地下商場 健身房 店舖 集合住宅,49.95,15,,,,,,1,,立面圖相符,,,,,,
,,,,,旁圍牆,花蓮市主安里中正路168巷9弄1號圍牆,23.9703908,121.5987192,,,,,,,2,,2,7,,,,,,,
,,,,,,花蓮市主安里中正路168巷9弄1樓（建物本身）,23.9703908,121.5987192,,,,,,,2,,2,7,,,,,,,
,,,,,,花蓮市主信里忠孝街58號（圍牆倒塌）,23.9742949,121.6064477,,,,,,3,,,3,7,,,,,,,
,(70)花建使字第01337號,IJ00690100018750000,,,,花蓮市明義街15號,23.9727653,121.608504,,13.5,4,,,,,,1,,立面圖相符,,,,,,
,,,,,蓮花大樓,花蓮市主權里德安六街69號,23.9716447,121.5916741,,,,,,3,,,3,7,人工尋找,,,,,,
,(70)花建使字第01928號,,,,,,,,99B4:國際觀光旅館,33.8,10,,,,,,1,,立面圖相符,,,,,,
,,,,,,花蓮市國興里介林八街10號（圍牆）,23.9964177,121.5734856,,,,,,,2,,2,7,,,,,,,
,,,,,,花蓮市國興里介林八街14號（圍牆）,23.9964831,121.5732771,,,,,,,2,,2,7,,,,,,,
,,,,,,吉安鄉北昌村自強路541號,23.9877544,121.5926021,,,,,,,2,,2,8,人工尋找,,,,,,
,,,,,,壽豐鄉平和村東華大學（理工一館D棟）,23.8971033,121.5435773,,,,,,,2,,2,8,,,,,,,
,,,,,,壽豐鄉平和村東華大學（圖書館塔樓）,23.89749,121.54193,,,,,,3,,,3,8,,,,,,,
,,,,,東益發定置漁場,秀林鄉崇德村海濱22號,24.2128474,121.6397184,,,,,,,2,,2,8,,,,,,,
,,,,,,秀林鄉景美村三棧村68號,24.104145,121.603686,,,,,,,2,,2,8,,,,,,,
,,,,,,花蓮市主商里博愛街52號,23.9742719,121.608955,住宅,,,,(排拆中),3,,,3,,,,,,,,
,,,,,,花蓮市主計里信義街9之1號,23.9724997,121.6055719,,,,,,3,,,3,,,,,,,,
,,,,,,花蓮市主計里信義街9之2號,23.9724997,121.6055719,,,,,,3,,,3,,,,,,,,
,,,,,馥邑京華公寓大樓,花蓮市主力里榮正街96號,23.973791,121.5975892,,,,,,3,,,3,,,,,,,,
,,,,,,花蓮市國魂里中山路475之1號,23.9842214,121.6035857,住宅,,,,,3,,,3,,,,,,,,
,,,,,,花蓮市民主里海濱街51號,23.9736046,121.6149167,,,,,,3,,,3,,,,,,,,
,,,,,,秀林鄉富世村民樂路40號、41號,24.3082079,121.7482315,,,,,,3,,,3,,,,,,,,
,,,,,,花蓮市主安里中正路168巷9弄1號,23.9703908,121.5987192,,,,,,,2,,2,,,,,,,,
,,,,,,花蓮市主工里2鄰後 文創園區圍牆,23.9761345,121.6045476,,,,,,,2,,2,,,,,,,,
,,,,,,花蓮市國光里明禮路16號,23.9818278,121.6089814,,,,,,,2,,2,,,,,,,,
,,,,,圍牆,花蓮市國興里介林八街10號,23.9964177,121.5734856,,,,,,,2,,2,,,,,,,,
,,,,,圍牆,花蓮市國興里介林八街14號,23.9964831,121.5732771,,,,,,,2,,2,,,,,,,,
,,,,,,花蓮市主農里中順街39號,23.9679755,121.5976883,,,,,,,2,,2,,,,,,,,
,,,,,圍牆,花蓮市主信里忠孝街58號,23.9742949,121.6064477,,,,,,,2,,2,,,,,,,,
,,,,,圍牆、輕型鋼,花蓮市國光里林森路266號,23.982676,121.607773,,,,,,,2,,2,,,,,,,,
,,,,,和勝江山,花蓮市主農里長安街26號,23.9670739,121.5969753,,,,,,,2,,2,,,,,,,,
,,,,,,花蓮市民族里軒轅路18號,23.9753494,121.6118289,,,,,,,2,,2,,,,,,,,
,,,,,,吉安鄉太昌村太昌路426號,23.9918043,121.5667232,,,,,,,2,,2,,,,,,,,
,,,,,,花蓮市民主里海濱街51之1號,23.9736046,121.6149167,,,,,,,2,,2,,,,,,,,
,,,,,,花蓮市民主里北濱街4之1號,23.9726683,121.6131903,,,,,,,2,,2,,,,,,,,
,,,,,德安花園廣場大樓圍牆,花蓮市主權里德安二街68巷38號圍牆,23.9737161,121.5919388,,,,,,,2,,2,,,,,,,,